rule,priority_score,recommended_phase,in_upstream,registered_locally,local_go_rule_dir_exists,has_go_test,missing_js_files,js_errs_local,js_errs_upstream,js_lines_local,js_lines_upstream,js_outputs_local,js_outputs_upstream,js_suggestions_local,js_suggestions_upstream,js_skip_delta,go_skip_count,todo_fixme_count,flags,upstream_rule_file,local_go_impl_files,local_go_test_files,local_js_test_files
no-useless-default-assignment,40,A_critical,True,True,True,True,,3,23,47,795,0,23,0,0,0,0,0,severe_js_size_gap|severe_invalid_gap|fix_gap_suspected,packages/eslint-plugin/src/rules/no-useless-default-assignment.ts,internal/plugins/typescript/rules/no_useless_default_assignment/no_useless_default_assignment.go,internal/plugins/typescript/rules/no_useless_default_assignment/no_useless_default_assignment_test.go,no-useless-default-assignment.test.ts
no-duplicate-enum-values,34,A_critical,True,True,True,True,,5,15,170,415,0,0,0,0,0,0,0,severe_js_size_gap|severe_invalid_gap,packages/eslint-plugin/src/rules/no-duplicate-enum-values.ts,internal/plugins/typescript/rules/no_duplicate_enum_values/no_duplicate_enum_values.go,internal/plugins/typescript/rules/no_duplicate_enum_values/no_duplicate_enum_values_test.go,no-duplicate-enum-values.test.ts
no-unused-private-class-members,34,A_critical,True,True,True,True,,1,46,31,1313,1,0,0,0,0,0,0,severe_js_size_gap|severe_invalid_gap,packages/eslint-plugin/src/rules/no-unused-private-class-members.ts,internal/plugins/typescript/rules/no_unused_private_class_members/no_unused_private_class_members.go,internal/plugins/typescript/rules/no_unused_private_class_members/no_unused_private_class_members_test.go,no-unused-private-class-members.test.ts
strict-void-return,34,A_critical,True,True,True,True,,4,109,66,2735,0,0,0,0,0,0,0,severe_js_size_gap|severe_invalid_gap,packages/eslint-plugin/src/rules/strict-void-return.ts,internal/plugins/typescript/rules/strict_void_return/strict_void_return.go,internal/plugins/typescript/rules/strict_void_return/strict_void_return_test.go,strict-void-return.test.ts
no-unused-vars,32,A_critical,True,True,True,True,no-unused-vars/no-unused-vars-enableAutofixRemoval.test.ts,236,259,6333,7311,0,41,0,20,0,0,0,missing_js_file|fix_gap_suspected|suggestion_gap_suspected,packages/eslint-plugin/src/rules/no-unused-vars.ts,internal/plugins/typescript/rules/no_unused_vars/no_unused_vars.go,internal/plugins/typescript/rules/no_unused_vars/no_unused_vars_test.go,no-unused-vars/no-unused-vars-eslint.test.ts|no-unused-vars/no-unused-vars.test.ts
prefer-optional-chain,30,B_high,True,True,True,True,,128,247,2114,3715,145,262,123,237,0,0,0,moderate_js_size_gap|moderate_invalid_gap|fix_gap_suspected|suggestion_gap_suspected,packages/eslint-plugin/src/rules/prefer-optional-chain.ts,internal/plugins/typescript/rules/prefer_optional_chain/prefer_optional_chain.go,internal/plugins/typescript/rules/prefer_optional_chain/prefer_optional_chain_test.go,prefer-optional-chain/prefer-optional-chain.test.ts
await-thenable,26,B_high,True,True,True,True,,18,43,764,1392,16,16,16,16,0,0,0,moderate_js_size_gap|severe_invalid_gap,packages/eslint-plugin/src/rules/await-thenable.ts,internal/plugins/typescript/rules/await_thenable/await_thenable.go,internal/plugins/typescript/rules/await_thenable/await_thenable_test.go,await-thenable.test.ts
no-loss-of-precision,20,B_high,True,True,True,False,,4,4,30,31,0,0,0,0,0,0,0,missing_go_test,packages/eslint-plugin/src/rules/no-loss-of-precision.ts,internal/plugins/typescript/rules/no_loss_of_precision/no_loss_of_precision.go,,no-loss-of-precision.test.ts
no-confusing-void-expression,19,B_high,True,True,True,True,,57,57,1194,1185,61,61,4,4,1,1,2,extra_js_skips|go_skips|todo_markers,packages/eslint-plugin/src/rules/no-confusing-void-expression.ts,internal/plugins/typescript/rules/no_confusing_void_expression/no_confusing_void_expression.go,internal/plugins/typescript/rules/no_confusing_void_expression/no_confusing_void_expression_test.go,no-confusing-void-expression.test.ts
no-duplicate-type-constituents,19,B_high,True,True,True,True,,48,48,896,886,48,48,0,0,2,2,1,extra_js_skips|go_skips|todo_markers,packages/eslint-plugin/src/rules/no-duplicate-type-constituents.ts,internal/plugins/typescript/rules/no_duplicate_type_constituents/no_duplicate_type_constituents.go,internal/plugins/typescript/rules/no_duplicate_type_constituents/no_duplicate_type_constituents_test.go,no-duplicate-type-constituents.test.ts
no-unsafe-member-access,18,B_high,True,True,True,True,,15,20,380,500,0,0,0,0,0,0,0,moderate_js_size_gap|moderate_invalid_gap,packages/eslint-plugin/src/rules/no-unsafe-member-access.ts,internal/plugins/typescript/rules/no_unsafe_member_access/no_unsafe_member_access.go,internal/plugins/typescript/rules/no_unsafe_member_access/no_unsafe_member_access_test.go,no-unsafe-member-access.test.ts
no-base-to-string,13,C_medium,True,True,True,True,,88,93,2214,2391,0,0,0,0,0,1,2,go_skips|todo_markers,packages/eslint-plugin/src/rules/no-base-to-string.ts,internal/plugins/typescript/rules/no_base_to_string/no_base_to_string.go,internal/plugins/typescript/rules/no_base_to_string/no_base_to_string_test.go,no-base-to-string.test.ts
no-misused-promises,13,C_medium,True,True,True,True,,90,91,2523,2539,0,0,0,0,0,1,12,go_skips|todo_markers,packages/eslint-plugin/src/rules/no-misused-promises.ts,internal/plugins/typescript/rules/no_misused_promises/no_misused_promises.go,internal/plugins/typescript/rules/no_misused_promises/no_misused_promises_test.go,no-misused-promises.test.ts
